Type,AISC_Manual_Label,T_F,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tan(?),Qs,Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PB
HSS,HSS12X10X5/16,F,44.60,12.20,0.00,0.00,12.00,11.10,0.00,0.00,0.00,10.00,9.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.31,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.40,0.00,38.10,0.00,264.00,51.70,44.00,4.64,200.00,45.70,40.00,4.04,0.00,0.00,0.00,356.00,0.00,66.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HSS,HSS12X10X1/4,F,36.03,9.90,0.00,0.00,12.00,11.30,0.00,0.00,0.00,10.00,9.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39.90,0.00,48.50,0.00,216.00,42.10,36.00,4.67,164.00,37.20,32.70,4.07,0.00,0.00,0.00,289.00,0.00,53.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HSS,HSS12X8X5/8,F,76.33,21.00,0.00,0.00,12.00,10.30,0.00,0.00,0.00,8.00,6.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.63,0.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.80,0.00,17.70,0.00,397.00,82.10,66.10,4.34,210.00,61.90,52.50,3.16,0.00,0.00,0.00,454.00,0.00,97.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HSS,HSS12X8X1/2,F,62.46,17.20,0.00,0.00,12.00,10.60,0.00,0.00,0.00,8.00,6.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.20,0.00,22.80,0.00,333.00,68.10,55.60,4.41,178.00,51.50,44.40,3.21,0.00,0.00,0.00,377.00,0.00,80.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HSS,HSS12X8X3/8,F,47.90,13.20,0.00,0.00,12.00,11.00,0.00,0.00,0.00,8.00,6.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.38,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.90,0.00,31.50,0.00,262.00,53.00,43.70,4.47,140.00,40.10,35.10,3.27,0.00,0.00,0.00,293.00,0.00,62.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HSS,HSS12X8X5/16,F,40.35,11.10,0.00,0.00,12.00,11.10,0.00,0.00,0.00,8.00,7.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.31,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.50,0.00,38.10,0.00,224.00,44.90,37.40,4.50,120.00,34.10,30.10,3.29,0.00,0.00,0.00,248.00,0.00,52.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HSS,HSS12X8X1/4,F,32.63,8.96,0.00,0.00,12.00,11.30,0.00,0.00,0.00,8.00,7.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.30,0.00,48.50,0.00,184.00,36.60,30.60,4.53,98.80,27.80,24.70,3.32,0.00,0.00,0.00,202.00,0.00,42.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HSS,HSS12X8X3/16,F,24.73,6.76,0.00,0.00,12.00,11.50,0.00,0.00,0.00,8.00,7.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43.00,0.00,66.10,0.00,140.00,27.80,23.40,4.56,75.70,21.10,18.90,3.35,0.00,0.00,0.00,153.00,0.00,32.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HSS,HSS12X6X5/8,F,67.82,18.70,0.00,0.00,12.00,10.30,0.00,0.00,0.00,6.00,4.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.63,0.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.33,0.00,17.70,0.00,321.00,68.80,53.40,4.14,107.00,42.10,35.50,2.39,0.00,0.00,0.00,271.00,0.00,71.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HSS,HSS12X6X1/2,F,55.66,15.30,0.00,0.00,12.00,10.60,0.00,0.00,0.00,6.00,4.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.91,0.00,22.80,0.00,271.00,57.40,45.20,4.21,91.10,35.20,30.40,2.44,0.00,0.00,0.00,227.00,0.00,59.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
